game_id,store_id,game_name,release_year,game_genre,num_players,type_of_machine,game_price
663541,556199,Neon Pirate Legends,1996,"Fighting, Pinball, Beat 'em Up, Puzzle",4,Coin Pusher Machine,0.25
117510,127705,Asteroid Vortex Racers,2007,"Fighting, Maze, Platformer",2,Pinball Machine,2.0
643680,739032,Skyward Jumper Escape,1987,"Racing, Fighting",4,Basketball Shooting Game,2.0
743037,51229,Monster Maze Trials,2022,"Maze, Fighting, Beat 'em Up",4,Virtual Reality Arcade Pod,0.5
535689,17823,Robo Colossus Saga,2019,Puzzle,2,Dance Dance Revolution Machine,2.0
259737,943869,Space Assault Force,2009,"Rhythm Game, Platformer, Racing, Puzzle",1,Dance Dance Revolution Machine,0.25
303609,383030,Virtual Mash League,1994,"Sport, Rhythm Game, Maze, Beat 'em Up",4,Virtual Reality Arcade Pod,0.75
206225,336773,Cosmic Colossus Xtreme,1997,"Shooter, Sport",4,Virtual Pinball Machine,0.75
409145,235545,Monster Rebellion Racers,1993,"Puzzle, Sport, Fighting, Rhythm Game",2,Racing Simulator,1.25
927990,484595,Jungle Jumper Elite,2021,"Maze, Rhythm Game, Light Gun Shooter",4,Foosball Table,1.75
409469,779360,Jungle Avenger Rampage,2011,"Puzzle, Fighting, Pinball",1,Arcade Cabinet,1.25
46769,861210,Cosmic Racer Force,2009,"Maze, Shooter, Sport",2,Guitar Arcade Unit,0.75
943955,645935,House of the Vortex Saga,2011,"Rhythm Game, Fighting, Puzzle",4,Dance Dance Revolution Machine,0.25
901250,112439,Crystal Warp Odyssey,1979,"Racing, Maze",1,Coin Pusher Machine,2.0
390159,630866,Alien Avenger 3000,2010,"Racing, Sport",1,Arcade Boxing Machine,2.0
113496,114219,Time Maverick Pro,2002,"Light Gun Shooter, Shooter, Pinball, Fighting",4,Foosball Table,0.25
758904,565472,Infinity Warp Wars,2003,"Shooter, Rhythm Game, Beat 'em Up",4,Claw Machine,1.75
337812,147341,Space Combat Trials,1977,"Fighting, Shooter, Light Gun Shooter",2,Dance Dance Revolution Machine,0.75
419787,758091,Pixel Maze Elite,2015,"Sport, Pinball, Maze",2,Arcade Cabinet,0.5
531016,932269,Electric Colossus Showdown,1982,"Shooter, Beat 'em Up",2,Racing Simulator,2.0
479284,168085,Skyward Combat Xtreme,2015,"Racing, Beat 'em Up, Light Gun Shooter",4,Bubble Hockey Table,1.75
135156,625948,Galaxy Pirate Showdown,1996,"Rhythm Game, Beat 'em Up, Platformer",1,Foosball Table,2.0
306465,747838,Skyward Rocket Mania,2007,"Rhythm Game, Platformer, Fighting",1,Interactive Touchscreen,2.0
597730,214620,Crystal Blaster Evolution,1976,"Fighting, Pinball",2,Coin Pusher Machine,1.5
397233,283755,Jungle Maze Escape,2004,"Racing, Fighting",4,Bubble Hockey Table,1.5
417219,152136,Sky Quest Elite,1992,"Sport, Puzzle",2,Foosball Table,1.75
775965,884753,Alien Warp Showdown,1979,"Beat 'em Up, Fighting, Racing, Rhythm Game",2,Arcade Boxing Machine,1.25
108653,976621,Skyward Rocket Force,2022,"Shooter, Rhythm Game, Puzzle, Racing",2,Arcade Boxing Machine,1.0
467630,502824,Time Hero Trials,2015,Beat 'em Up,4,Guitar Arcade Unit,1.75
125419,782603,Phantom Hero Quest,1999,"Rhythm Game, Fighting",2,Racing Simulator,0.25
327668,355439,Neon Maze Mania,2022,"Rhythm Game, Maze",4,Guitar Arcade Unit,1.0
561523,552775,Phantom Fury Xtreme,2007,"Maze, Pinball, Platformer, Rhythm Game",1,Arcade Boxing Machine,0.75
155766,427256,Sky Quest Trials,2014,"Racing, Fighting",2,Basketball Shooting Game,0.75
